Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Standard Deviation
01 01 2018 00:00,380.047790527343,5.31133604049682,416.328907824861,259.994903564453,0.2579700271789581
01 01 2018 00:10,453.76919555664,5.67216682434082,519.917511061494,268.64111328125,0.2903106209374299
01 01 2018 00:20,306.376586914062,5.21603679656982,390.900015810951,272.564788818359,0.4304212954068964
01 01 2018 00:30,419.645904541015,5.65967416763305,516.127568975674,271.258087158203,1.4287846250987326
01 01 2018 00:40,380.650695800781,5.57794094085693,491.702971953588,265.674285888671,
01 01 2018 00:50,402.391998291015,5.60405206680297,499.436385024805,264.57861328125,0.1678163805577575
01 01 2018 01:00,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,0.5888143976144049
01 01 2018 01:10,387.2421875,5.30604982376098,414.898178826186,257.949493408203,0.955542888066042
01 01 2018 01:20,463.651214599609,5.58462905883789,493.677652137077,253.480697631835,1.1010140014710172
01 01 2018 01:30,439.725708007812,5.52322816848754,475.706782818068,258.72378540039,1.303268394192128
01 01 2018 01:40,498.181701660156,5.72411584854125,535.841397042263,251.850997924804,1.3455574756060371
01 01 2018 01:50,526.816223144531,5.93419885635375,603.014076510633,265.504699707031,1.056213309118584
01 01 2018 02:00,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,1.0319645221723153
01 01 2018 02:10,655.194274902343,6.19974613189697,693.472641075637,266.733184814453,1.4870431439784324
01 01 2018 02:20,754.762512207031,6.50538301467895,808.098138482693,266.76040649414,0.5311389945075897
01 01 2018 02:30,790.173278808593,6.63411617279052,859.459020788565,270.493194580078,0.4290377121892678
01 01 2018 02:40,742.985290527343,6.37891292572021,759.434536596592,266.593292236328,1.3014794359491129
01 01 2018 02:50,748.229614257812,6.4466528892517,785.28100987646,265.571807861328,0.588199854981831
01 01 2018 03:00,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,0.3745305257513009
01 01 2018 03:10,787.246215820312,6.43753099441528,781.7712157188,257.56021118164,0.6197842369576743
01 01 2018 03:20,722.864074707031,6.22002410888671,700.764699868076,255.926498413085,1.1133305501894963
01 01 2018 03:30,935.033386230468,6.89802598953247,970.736626881787,250.012893676757,0.9688340909135916
01 01 2018 03:40,1220.60900878906,7.60971117019653,1315.04892785216,255.985702514648,0.3193856531937861
01 01 2018 03:50,1053.77197265625,7.28835582733154,1151.26574355584,255.444595336914,0.9387001434901246
01 01 2018 04:00,1493.80798339843,7.94310188293457,1497.58372354361,256.407409667968,1.4887692661878045
01 01 2018 04:10,1724.48803710937,8.37616157531738,1752.19966204818,252.41259765625,0.6022740918384129
01 01 2018 04:20,1636.93505859375,8.23695755004882,1668.47070685152,247.979400634765,0.2872050122636355
01 01 2018 04:30,1385.48803710937,7.87959098815917,1461.81579081391,238.609603881835,0.7976787474467251
01 01 2018 04:40,1098.93200683593,7.10137605667114,1062.28503444311,245.095596313476,1.11998353082455
01 01 2018 04:50,1021.4580078125,6.95530700683593,995.995854606612,245.410202026367,0.7643322874111761
01 01 2018 05:00,1164.89294433593,7.09829807281494,1060.85971215544,235.227905273437,0.5998857155706747
01 01 2018 05:10,1073.33203125,6.95363092422485,995.250960801046,242.872695922851,0.5505826137173374
01 01 2018 05:20,1165.30798339843,7.24957799911499,1132.4168612641,244.835693359375,1.018140958437487
01 01 2018 05:30,1177.98999023437,7.29469108581542,1154.36530469206,242.48159790039,0.2371970518669213
01 01 2018 05:40,1170.53601074218,7.37636995315551,1194.8430985043,247.97720336914,0.0942623172361344
01 01 2018 05:50,1145.53601074218,7.44855403900146,1231.43070603717,249.682998657226,0.3635375441471528
01 01 2018 06:00,1114.02697753906,7.2392520904541,1127.43320551345,248.401000976562,1.3949601405775909
01 01 2018 06:10,1153.18505859375,7.32921123504638,1171.35504358957,244.621704101562,1.1989282402344834
01 01 2018 06:20,1125.3310546875,7.13970518112182,1080.13908466205,244.631805419921,0.1623209892465242
01 01 2018 06:30,1228.73205566406,7.47422885894775,1244.63353439737,245.785995483398,0.5121787273147312
01 01 2018 06:40,1021.79302978515,7.03317403793334,1030.99268581181,248.652206420898,0.1880520659635969
01 01 2018 06:50,957.378173828125,6.88645505905151,965.683334443832,244.611694335937,0.9046305781620876
01 01 2018 07:00,909.887817382812,6.88782119750976,966.279104864065,235.84829711914,1.0414148811258823
01 01 2018 07:10,1000.95397949218,7.21643209457397,1116.4718990154,232.842697143554,1.3827013440732716
